date,T_avg,T_max,T_min,humidity_avg,rain_mm,pressure_avg
1996-02-16,3.375,9.6,-2.6,72.10416666666667,0.0,1025.5770833333333
1996-02-17,6.389583333333333,14.4,1.7,66.20833333333333,0.0,1023.75
1996-02-18,6.045833333333333,17.6,-0.6,82.6875,0.0,1017.5875
1996-02-19,7.591666666666666,14.2,,65.875,0.0,1001.3291666666668
1996-02-20,3.006521739130435,,-2.0,66.69565217391305,5.8,1005.2217391304347
1996-02-21,0.48541666666666666,8.7,-6.3,64.60416666666667,0.0,1009.3479166666666
1996-02-22,2.535416666666667,9.9,-4.2,48.4375,0.0,1016.3937500000001
1996-02-23,5.017021276595745,14.6,-2.8,63.680851063829785,0.0,1017.5531914893617
1996-02-24,3.6958333333333333,11.0,-2.5,88.85416666666667,0.0,1017.5041666666666
1996-02-25,6.434042553191489,13.3,1.2,84.72340425531915,0.0,1015.0510638297873
1996-02-26,7.485416666666667,15.9,-0.3,79.75,0.0,1011.1437500000001
1996-02-27,7.931914893617021,14.3,3.8,80.97872340425532,1.4,1012.3191489361702
1996-02-28,8.93125,17.0,3.4,76.83333333333333,0.0,1018.3833333333333
1996-02-29,6.227083333333333,,,82.5625,0.0,1022.0729166666666
1996-03-01,7.729166666666667,17.0,-0.3,67.83333333333333,0.0,1020.4854166666668
1996-03-02,8.360416666666667,13.5,4.3,68.35416666666667,0.0,1014.2708333333334
1996-03-03,7.1063829787234045,11.8,4.4,71.14893617021276,0.0,1014.0234042553191
1996-03-04,5.629166666666666,13.9,-0.3,77.22916666666667,0.0,1016.6
1996-03-05,4.352173913043478,10.0,-2.0,82.5,0.0,1022.6913043478262
1996-03-06,4.233333333333333,,4.3,89.0,0.0,1015.3666666666668
1996-03-07,5.633333333333333,14.1,1.8,80.85416666666667,0.2,1012.0458333333332
1996-03-08,6.177777777777778,,,81.53333333333333,0.0,1016.76
1996-03-14,7.102631578947368,9.2,,94.86842105263158,31.8,1000.3473684210526
1996-03-15,7.895833333333333,10.5,6.1,90.85416666666667,5.0,1002.1354166666666
1996-03-16,7.675,11.7,4.8,80.375,3.6,1007.7145833333334
1996-03-17,7.416666666666667,15.3,1.0,71.25,0.0,1015.0041666666666
1996-03-18,6.691666666666666,15.1,1.3,80.95833333333333,0.0,1016.1062499999999
1996-03-19,7.35625,15.5,-0.7,81.375,0.0,1013.63125
1996-03-20,11.27659574468085,20.4,3.3,71.91489361702128,0.0,1011.0617021276596
1996-03-21,10.62340425531915,19.0,2.3,80.80851063829788,0.0,1014.8808510638298
1996-03-22,12.575000000000001,22.6,7.1,76.08333333333333,0.0,1018.1895833333333
1996-03-23,11.064583333333333,20.7,2.9,68.875,0.0,1018.6729166666668
1996-03-24,11.660416666666668,20.0,3.0,63.3125,0.0,1019.5354166666666
1996-03-25,13.347916666666668,18.9,8.8,74.41666666666667,0.0,1017.1666666666666
1996-03-26,10.692857142857141,,,93.92857142857143,6.800000000000001,1012.8392857142857
1996-03-27,12.283333333333333,22.9,6.4,70.9375,0.2,1011.5354166666666
1996-03-28,11.956249999999999,21.5,6.2,69.625,0.0,1013.1729166666668
1996-03-29,9.636170212765958,16.6,4.2,83.48936170212765,0.0,1014.4319148936171
1996-03-30,9.439583333333333,10.7,8.6,88.14583333333333,0.0,1010.3208333333333
1996-03-31,9.748936170212765,16.1,3.7,83.7872340425532,0.0,1013.0382978723405
1996-04-01,10.0625,13.5,7.6,90.5,4.2,1002.0375
1996-04-02,10.335416666666667,18.4,4.8,74.10416666666667,0.0,1006.5291666666667
1996-04-03,7.26875,15.7,1.4,55.791666666666664,0.0,1015.15
1996-04-04,6.8500000000000005,17.5,-1.9,59.770833333333336,0.0,1018.2104166666667
1996-04-05,7.402083333333334,15.4,-1.9,72.14583333333333,0.0,1015.0833333333334
1996-04-06,9.637500000000001,15.2,5.6,83.45833333333333,0.0,1016.9541666666668
1996-04-07,11.375,19.0,4.5,80.8125,4.4,1020.0791666666668
1996-04-08,12.012500000000001,21.9,6.7,78.33333333333333,0.0,1023.5020833333333
1996-04-09,12.706249999999999,22.7,6.2,69.5,0.0,1022.4
1996-04-10,12.627083333333333,20.9,3.6,63.833333333333336,0.0,1020.1166666666667
1996-04-11,13.450000000000001,22.1,5.1,68.35416666666667,0.0,1014.5749999999999
1996-04-12,13.73404255319149,21.3,7.8,65.68085106382979,0.0,1012.7531914893617
1996-04-13,13.339583333333332,22.2,6.3,73.58333333333333,1.0,1014.2854166666666
1996-04-14,13.704166666666666,21.8,7.8,75.16666666666667,0.0,1018.2979166666668
1996-04-15,12.862499999999999,20.1,8.4,82.83333333333333,0.4,1021.8208333333333
1996-04-16,13.577083333333334,19.2,10.3,81.47916666666667,1.0,1016.9041666666667
1996-04-17,11.977083333333333,20.8,7.9,83.4375,38.6,1013.0479166666668
1996-04-18,11.179166666666667,19.2,3.1,60.708333333333336,0.0,1019.99375
1996-04-19,11.239583333333334,19.3,1.9,68.14583333333333,0.0,1020.4875000000001
1996-04-20,12.083333333333334,19.9,3.3,70.35416666666667,0.0,1017.4833333333332
1996-04-21,14.095833333333333,19.4,7.2,77.89583333333333,0.0,1011.7937499999999
1996-04-22,13.862499999999999,17.9,11.7,91.45833333333333,6.8,1010.2104166666667
1996-04-23,14.439583333333333,20.2,9.4,65.60416666666667,0.0,1014.2541666666666
1996-04-24,12.293750000000001,21.1,4.3,70.08333333333333,0.0,1020.2208333333333
1996-04-25,14.458333333333334,22.1,9.8,62.583333333333336,0.0,1019.6666666666666
1996-04-26,12.485416666666666,18.7,8.9,76.66666666666667,1.6,1015.74375
1996-04-27,11.910638297872339,14.4,9.6,92.72340425531915,6.4,1012.227659574468
1996-04-28,12.646808510638298,17.8,10.7,91.82978723404256,3.0,1008.1404255319148
1996-04-29,13.279166666666667,18.2,10.9,91.0,6.2,1005.6437500000001
1996-04-30,13.541666666666666,19.5,10.6,79.125,6.4,1005.30625
1996-05-01,13.070833333333333,20.1,6.2,72.64583333333333,0.0,1003.0145833333332
1996-05-02,12.227083333333333,18.2,,57.145833333333336,0.0,1003.0875
1996-05-03,11.402083333333332,19.9,3.1,66.14583333333333,0.0,1007.0520833333334
1996-05-04,11.9125,20.0,3.4,71.54166666666667,0.0,1012.8333333333334
1996-05-05,13.033333333333333,20.2,5.0,67.66666666666667,0.0,1013.78125
1996-05-06,14.027083333333332,20.9,7.5,72.83333333333333,0.0,1010.74375
1996-05-07,14.335416666666667,19.8,10.8,79.89583333333333,13.6,1008.7833333333333
1996-05-08,14.295833333333334,21.9,7.5,78.9375,0.2,1011.2875
1996-05-09,14.614583333333334,20.6,11.0,83.27083333333333,17.4,1009.0833333333334
1996-05-10,12.614583333333334,14.8,11.1,93.39583333333333,13.2,1005.5770833333332
1996-05-11,11.4625,13.6,10.6,96.08333333333333,27.2,1007.2416666666667
1996-05-12,13.96875,21.5,9.6,67.54166666666667,0.6000000000000001,1012.9583333333334
1996-05-13,12.775,21.7,6.1,59.5,0.0,1017.525
1996-05-14,12.362499999999999,20.0,5.4,76.75,0.0,1013.3333333333334
1996-05-15,14.172916666666666,22.5,5.8,75.41666666666667,0.0,1011.025
1996-05-16,15.7875,23.3,8.9,74.0625,0.0,1011.8375
1996-05-17,17.375,23.1,12.2,72.10416666666667,3.0,1010.0083333333333
1996-05-18,17.329166666666666,23.6,12.7,71.22916666666667,1.4,1007.7041666666668
1996-05-19,14.958333333333334,21.1,10.0,62.229166666666664,0.0,1010.25625
1996-05-20,13.799999999999999,21.9,6.3,62.979166666666664,0.0,1017.8416666666667
1996-05-21,14.154166666666667,21.8,6.2,71.4375,0.0,1024.7458333333334
1996-05-22,15.293617021276594,21.6,6.9,72.38297872340425,0.0,1026.787234042553
1996-05-23,17.243750000000002,25.9,8.2,60.145833333333336,0.0,1024.7895833333334
1996-05-24,17.408333333333335,26.1,6.9,50.0,0.0,1020.4020833333334
1996-05-25,17.345833333333335,24.4,8.0,68.66666666666667,0.0,1018.8583333333332
1996-05-26,18.277083333333334,25.5,11.8,70.16666666666667,0.0,1022.2208333333333
1996-05-27,19.452083333333334,30.5,11.1,68.52083333333333,0.0,1020.4812499999999
1996-05-28,18.400000000000002,27.3,11.3,69.5,0.0,1021.4083333333333
1996-05-29,18.865957446808512,27.5,13.1,72.59574468085107,0.0,1020.8744680851064
1996-05-30,18.650000000000002,25.6,10.9,54.625,0.0,1022.4041666666667
1996-05-31,17.70625,26.0,8.0,62.5625,0.0,1023.0625
1996-06-01,17.385416666666668,23.4,12.3,75.95833333333333,0.4,1022.025
1996-06-02,13.4125,,12.0,95.29166666666667,28.8,1015.525
1996-06-03,16.35625,24.8,11.0,70.72916666666667,0.0,1016.6125000000001
1996-06-04,17.48125,25.7,9.3,65.1875,0.0,1022.8874999999999
1996-06-05,19.712500000000002,29.1,10.9,68.27083333333333,0.0,1023.8291666666668
1996-06-06,20.158333333333335,27.8,12.5,66.125,0.0,1023.3020833333334
1996-06-07,19.927083333333332,27.6,11.5,63.270833333333336,0.0,1022.9229166666668
1996-06-08,19.204166666666666,25.6,11.4,73.20833333333333,0.0,1023.2875
1996-06-09,19.677083333333332,27.0,14.8,73.5625,0.0,1022.84375
1996-06-10,20.931250000000002,28.9,12.3,64.45833333333333,0.0,1023.03125
1996-06-11,22.335416666666664,29.5,13.7,66.85416666666667,0.0,1025.2749999999999
1996-06-12,22.0125,32.8,15.7,78.25,2.2,1026.15625
1996-06-13,24.0625,34.5,16.1,65.25,0.0,1022.8416666666667
1996-06-14,22.610416666666666,29.6,15.5,71.75,0.0,1020.9354166666667
1996-06-15,21.15625,28.5,14.6,74.10416666666667,0.0,1020.2291666666666
1996-06-16,20.166666666666668,28.5,14.1,69.70833333333333,0.0,1019.2645833333332
1996-06-17,20.954166666666666,28.3,12.8,63.395833333333336,0.0,1019.6270833333333
1996-06-18,20.372916666666665,28.3,12.9,75.8125,5.3999999999999995,1019.0395833333333
1996-06-19,21.95625,31.7,14.1,66.6875,0.0,1015.8249999999999
1996-06-20,21.837500000000002,30.0,15.0,69.60416666666667,1.2,1012.0145833333332
1996-06-21,21.441304347826087,28.6,14.9,56.52173913043478,0.0,1008.0369565217391
1996-06-22,19.266666666666666,29.1,13.3,55.6875,0.0,1016.025
1996-06-23,14.585416666666667,19.8,11.7,80.52083333333333,7.6,1020.8166666666666
1996-06-24,16.09375,23.7,10.4,67.08333333333333,0.0,1022.2229166666666
1996-06-25,15.354166666666666,21.5,12.0,78.8125,5.6000000000000005,1021.6854166666667
1996-06-26,16.758333333333333,23.5,11.8,72.97916666666667,0.0,1022.6229166666667
1996-06-27,18.885416666666668,27.7,10.0,66.72916666666667,0.0,1024.9708333333333
1996-06-28,20.345833333333335,27.5,12.3,66.72916666666667,0.0,1023.4708333333333
1996-06-29,20.8875,28.6,12.8,72.125,0.0,1021.4499999999999
1996-06-30,21.20625,27.9,14.8,64.72916666666667,0.0,1020.1062499999999
1996-07-01,20.897916666666667,28.0,12.7,69.9375,0.0,1015.0395833333333
1996-07-02,17.202083333333334,22.5,15.0,88.5,5.4,1015.40625
1996-07-03,20.287499999999998,27.7,13.1,76.5,0.0,1017.6979166666666
1996-07-04,21.416666666666668,26.7,18.3,82.8125,0.0,1018.7375000000001
1996-07-05,23.075,31.8,,74.77083333333333,0.0,1013.9250000000001
1996-07-06,20.602083333333333,25.5,17.1,71.20833333333333,0.0,1013.2770833333334
1996-07-07,20.133333333333333,26.7,15.9,64.1875,2.0,1007.0166666666668
1996-07-08,18.560416666666665,27.4,11.6,51.541666666666664,0.0,1019.8562499999999
1996-07-09,18.8125,28.6,11.0,62.791666666666664,0.0,1026.7729166666666
1996-07-10,19.095833333333335,27.3,10.7,68.22916666666667,0.0,1024.7166666666667
1996-07-11,19.645833333333332,28.7,11.2,67.66666666666667,0.0,1021.8333333333334
1996-07-12,21.991666666666664,29.1,15.2,56.895833333333336,0.0,1021.6458333333334
1996-07-13,19.45,29.2,13.7,74.22916666666667,5.8,1023.5333333333333
1996-07-14,20.658333333333335,29.1,13.5,65.875,0.0,1025.3875
1996-07-15,22.885416666666668,32.2,13.1,60.270833333333336,0.0,1023.2208333333333
1996-07-16,23.985416666666666,32.2,16.5,60.166666666666664,0.0,1020.9791666666666
1996-07-17,24.299999999999997,33.0,17.1,59.87234042553192,0.0,1018.9212765957448
1996-07-18,24.058333333333334,32.3,16.7,64.29166666666667,0.0,1019.3604166666668
1996-07-19,23.52916666666667,32.6,15.3,67.60416666666667,0.0,1020.2979166666668
1996-07-20,23.025000000000002,30.4,15.4,64.02083333333333,0.0,1020.7770833333334
1996-07-21,22.895833333333332,30.2,15.2,61.9375,0.0,1021.6645833333333
1996-07-22,22.4375,30.8,14.2,64.39583333333333,0.0,1021.6104166666668
1996-07-23,23.397916666666664,31.9,14.6,55.770833333333336,0.0,1021.2604166666666
1996-07-24,26.71666666666667,37.1,15.5,42.104166666666664,0.0,1018.625
1996-07-25,27.135416666666668,34.6,20.2,49.958333333333336,0.0,1017.3541666666666
1996-07-26,25.65416666666667,33.4,18.3,56.729166666666664,0.0,1013.7833333333333
1996-07-27,20.125531914893617,28.9,14.1,81.17021276595744,41.8,1017.768085106383
1996-07-28,21.65416666666667,31.6,15.5,73.125,0.0,1020.1541666666667
1996-07-29,23.41875,31.8,15.0,65.45833333333333,0.8,1018.4
1996-07-30,23.145833333333332,31.0,17.1,73.79166666666667,0.0,1018.6229166666667
1996-07-31,23.849999999999998,30.4,18.3,71.22916666666667,0.0,1018.8708333333334
1996-08-01,23.7625,31.2,16.5,70.9375,0.0,1019.2687500000001
1996-08-02,24.010416666666668,31.4,17.2,69.54166666666667,0.0,1021.3104166666667
1996-08-03,22.666666666666668,29.7,18.9,72.72916666666667,0.0,1022.6270833333333
1996-08-04,23.03125,29.6,18.7,74.5,2.4,1018.2624999999999
1996-08-05,21.614583333333332,27.3,17.8,88.08333333333333,47.2,1014.9812499999999
1996-08-06,23.472916666666666,29.2,19.7,81.3125,0.0,1015.7854166666666
1996-08-07,23.370833333333334,27.9,,78.375,8.4,1017.7604166666666
1996-08-08,21.87708333333333,30.1,16.6,77.29166666666667,0.8,1016.8312500000001
1996-08-09,23.34166666666667,30.6,17.5,72.39583333333333,0.0,1017.3083333333334
1996-08-10,23.366666666666664,31.1,16.2,75.22916666666667,0.0,1014.1
1996-08-11,22.900000000000002,27.6,20.1,73.375,0.0,1014.0541666666667
1996-08-12,21.87291666666667,30.5,17.4,74.08333333333333,0.0,1015.6041666666666
1996-08-13,20.920833333333334,26.0,18.5,70.29166666666667,0.0,1017.3645833333334
